,song_title,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,target
774,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,low,high,medium,low,low,high,low,positive,No
775,The Monster,Eminem,low,high,high,low,low,high,low,positive,No
776,TiK ToK,Kesha,low,high,high,low,low,high,low,positive,No
777,Love You Like A Love Song,Selena Gomez & The Scene,low,high,high,low,low,high,low,verypositive,No
778,Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,low,medium,high,low,low,high,low,negative,No
779,Sexy Bitch (feat. Akon) - Featuring Akon;explicit,David Guetta,low,high,medium,low,low,high,low,verypositive,No
780,Somebody,Natalie La Rose,low,high,medium,low,low,high,low,verypositive,No
781,Maps,Maroon 5,low,high,high,low,low,high,low,verypositive,No
782,Am I Wrong,Nico & Vinz,low,high,high,low,low,high,low,verypositive,No
783,Umbrella,Rihanna,low,medium,high,low,low,high,low,positive,No
784,Counting Stars,OneRepublic,low,high,high,low,low,high,low,negative,No
785,Turn Down for What,DJ Snake,low,high,high,low,low,high,low,verynegative,No
786,Get Lucky,Daft Punk,low,high,high,low,low,high,low,verypositive,No
787,A Dustland Fairytale,The Killers,low,medium,high,low,low,high,low,negative,No
788,My House,Flo Rida,low,high,high,low,low,high,low,positive,No
789,Best I Ever Had,Drake,low,medium,high,low,low,high,medium,positive,No
790,Stitches,Shawn Mendes,low,medium,high,low,low,high,low,positive,No
791,I Will Never Let You Down,Rita Ora,medium,high,high,low,low,high,low,verypositive,No
792,Do I Wanna Know?,Arctic Monkeys,low,medium,medium,low,low,high,low,negative,No
793,Cinema - Skrillex Remix,Benny Benassi,low,medium,high,low,low,high,low,negative,No
794,Take Care,Drake,low,high,medium,low,low,high,low,negative,No
795,Love Song,Sara Bareilles,low,medium,high,low,low,high,low,positive,No
796,Blurred Lines,Robin Thicke,low,high,medium,low,low,high,low,verypositive,No
797,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,low,high,medium,low,medium,high,medium,negative,No
798,Beautiful Girls - Radio Disney Version,Sean Kingston,low,high,medium,low,low,high,low,positive,No
799,Cool,Gwen Stefani,low,high,high,low,medium,high,low,verypositive,No
800,Can’t Live Without,Hollyn,medium,medium,medium,low,low,high,low,negative,No
801,Glimpse,Kim Walker-Smith,low,medium,high,low,low,high,low,negative,No
802,Broken Things,Matthew West,low,medium,medium,low,low,high,low,negative,No
803,Even If,MercyMe,medium,medium,medium,low,low,high,low,verynegative,No
804,Home,Chris Tomlin,low,medium,high,low,low,high,low,negative,No
805,Nowhere,Sarah Reeves,medium,low,medium,low,low,high,low,verynegative,No
806,Hills and Valleys (The Valleys Version),Tauren Wells,high,medium,medium,low,low,high,low,negative,No
807,Chain Breaker,Zach Williams,low,medium,high,low,low,high,low,negative,No
808,Clean,Natalie Grant,high,medium,low,low,low,high,low,verynegative,No
809,I Will,Citizen Way,medium,medium,high,low,low,high,low,negative,No
810,The Gospel,Ryan Stevenson,low,medium,high,low,low,high,low,positive,No
811,Throne Room,Kim Walker-Smith,low,medium,high,low,low,high,low,verynegative,No
812,I Won't Let You Go - Radio Version,Switchfoot,low,medium,high,low,low,high,low,negative,No
813,Unfinished,Mandisa,low,medium,high,low,low,high,low,negative,No
