ID,Age,Education,Marital_Status,Income,AcceptedCmp1,Complain,Response
1201,Old,Graduation,Married,Very high,No,No,No
1202,Old,Graduation,Married,Very high,No,Yes,No
1203,Middle,Master,Married,Very high,No,No,No
1204,Old,Graduation,Divorced,Medium,No,No,Yes
1205,Old,Master,Together,Very high,No,No,No
1206,Old,Master,Married,Very high,No,No,No
1207,Young,PhD,Married,Very high,No,No,No
1208,Old,Graduation,Married,Medium,No,No,No
1209,Old,PhD,Together,High,No,No,No
1210,Old,Graduation,Together,High,No,No,No
1211,Old,Graduation,Together,High,No,No,No
1212,Middle,Graduation,Together,Very high,No,Yes,No
1213,Middle,Graduation,Together,Very high,No,No,No
1214,Middle,Graduation,Together,Very high,No,No,No
1215,Middle,Graduation,Married,Very high,No,No,No
1216,Old,Graduation,Single,High,No,No,Yes
1217,Old,Graduation,Single,Very high,No,No,No
1218,Young,PhD,Together,High,No,No,No
1219,Old,PhD,Together,Very high,No,No,No
1220,Young,Graduation,Single,High,No,No,No
1221,Middle,Basic,Single,Medium,No,No,No
1222,Old,Graduation,Married,High,No,No,No
1223,Middle,2n Cycle,Divorced,Very high,Yes,No,No
1224,Old,Graduation,Married,High,No,No,No
1225,Old,PhD,Widow,High,No,No,No
1226,Old,PhD,Married,Very high,No,No,No
1227,Young,PhD,Single,Very high,No,No,No
1228,Middle,Graduation,Married,Medium,No,No,Yes
1229,Old,Master,Married,Very high,No,No,No
1230,Middle,Master,Married,High,No,No,No
1231,Young,Graduation,Divorced,High,No,No,No
1232,Middle,PhD,Together,High,No,No,No
1233,Middle,Graduation,Divorced,High,No,No,No
1234,Middle,Graduation,Together,High,No,No,No
1235,Middle,PhD,Together,High,No,No,No
1236,Old,Graduation,Married,Very high,No,No,No
1237,Middle,Master,Together,Very high,No,No,No
1238,Young,Graduation,Together,Very high,No,No,No
1239,Old,Graduation,Married,High,No,No,No
1240,Middle,Graduation,Single,High,No,No,No
1241,Middle,Basic,Single,High,No,No,No
1242,Old,PhD,Married,Very high,No,No,No
1243,Old,Graduation,Single,Very high,No,No,No
1244,Middle,Master,Together,Very high,No,No,No
1245,Middle,PhD,Together,High,No,No,No
1246,Young,Graduation,Divorced,Low,No,No,No
1247,Middle,Basic,Single,Medium,No,No,No
1248,Middle,Graduation,Together,High,No,No,No
1249,Middle,PhD,Together,Medium,No,No,No
1250,Old,Graduation,Married,Very high,No,No,No
1251,Old,PhD,Married,Very high,Yes,No,Yes
1252,Middle,Graduation,Married,Very high,No,No,No
1253,Middle,PhD,Married,Very high,No,No,Yes
1254,Old,Graduation,Married,Very high,No,No,No
1255,Middle,Graduation,Divorced,Very high,No,No,No
1256,Old,PhD,Married,Very high,No,No,Yes
1257,Middle,2n Cycle,Married,Very high,No,No,Yes
1258,Middle,Graduation,Married,Very high,No,No,No
1259,Middle,Graduation,Married,High,No,No,No
1260,Middle,Graduation,Together,Very high,Yes,No,No
1261,Middle,PhD,Divorced,High,No,No,No
1262,Middle,PhD,Divorced,Very high,No,No,Yes
1263,Old,Master,Together,Very high,Yes,No,No
1264,Old,Graduation,Married,High,No,No,No
1265,Middle,Graduation,Single,High,No,No,Yes
1266,Old,Graduation,Divorced,Very high,Yes,No,Yes
1267,Middle,PhD,Married,Very high,No,No,Yes
1268,Old,Graduation,Together,Medium,No,No,No
1269,Old,PhD,Married,High,No,No,No
1270,Old,2n Cycle,Single,Very high,No,No,No
1271,Old,Graduation,Married,Very high,No,No,No
1272,Middle,Master,Single,Very high,No,No,No
1273,Middle,Graduation,Single,High,No,No,Yes
1274,Middle,Master,Married,Very high,No,No,No
1275,Middle,Master,Divorced,Medium,No,No,No
1276,Middle,Graduation,Married,Very high,No,No,No
1277,Old,Master,Married,High,No,No,No
1278,Middle,Graduation,Married,High,No,Yes,No
1279,Middle,Graduation,Divorced,Very high,Yes,No,No
1280,Middle,Graduation,Married,High,No,No,No
1281,Middle,Graduation,Together,Very high,No,No,Yes
1282,Old,2n Cycle,Divorced,High,No,No,Yes
1283,Old,PhD,Married,High,No,No,No
1284,Old,Master,Together,High,No,No,No
1285,Middle,Basic,Married,High,No,No,No
1286,Middle,Graduation,Divorced,High,No,No,No
1287,Middle,PhD,Married,Very high,No,No,Yes
1288,Middle,2n Cycle,Married,High,No,No,No
1289,Middle,Master,Married,Very high,Yes,No,Yes
1290,Old,Graduation,Married,Very high,No,No,No
1291,Middle,Graduation,Married,Medium,No,No,No
1292,Middle,Graduation,Single,Medium,No,No,No
1293,Middle,2n Cycle,Married,High,No,No,No
1294,Old,PhD,Single,High,No,No,No
1295,Old,PhD,Single,High,No,No,No
1296,Middle,Master,Together,Very high,No,No,No
1297,Middle,PhD,Together,High,No,No,No
1298,Old,Graduation,Together,Very high,No,No,No
1299,Middle,Graduation,Married,Very high,No,No,Yes
1300,Middle,Graduation,Single,Medium,No,No,No
1301,Old,Master,Together,Very high,No,No,No
1302,Young,Graduation,Together,Very high,Yes,No,Yes
1303,Middle,2n Cycle,Married,Medium,No,No,No
1304,Middle,Graduation,Divorced,High,No,No,No
1305,Middle,Graduation,Married,Very high,No,No,No
1306,Middle,Graduation,Together,Very high,No,No,No
1307,Old,Graduation,Together,Very high,No,No,No
1308,Middle,PhD,Married,Very high,No,No,No
1309,Middle,Graduation,Married,Very high,Yes,No,Yes
1310,Old,Graduation,Together,Very high,No,No,No
1311,Old,PhD,Married,Very high,No,No,No
1312,Old,Master,Single,Very high,No,No,No
1313,Old,Master,Together,High,No,No,No
1314,Young,2n Cycle,Together,Very high,No,No,No
1315,Old,2n Cycle,Married,Very high,No,No,No
1316,Old,PhD,Single,High,No,No,No
1317,Middle,Graduation,Together,High,No,No,No
1318,Middle,2n Cycle,Married,High,No,No,No
1319,Middle,Graduation,Married,High,No,No,No
1320,Old,Graduation,Together,High,No,No,No
1321,Old,Master,Married,Very high,No,No,No
1322,Middle,Master,Together,High,No,No,No
1323,Middle,Graduation,Together,Very high,No,No,No
1324,Middle,Graduation,Single,High,No,Yes,Yes
1325,Old,Basic,Married,Medium,No,No,No
1326,Middle,Master,Married,Very high,No,No,No
1327,Middle,Graduation,Married,Medium,No,No,No
1328,Middle,PhD,Married,High,No,No,No
1329,Old,Master,Single,Medium,No,No,No
1330,Middle,PhD,Together,Very high,No,No,Yes
1331,Middle,Graduation,Married,High,No,No,No
1332,Old,Graduation,Married,High,No,No,Yes
1333,Old,Graduation,Married,Very high,Yes,No,No
1334,Middle,Graduation,Single,Very high,No,No,No
1335,Middle,Master,Married,Very high,Yes,No,Yes
1336,Middle,Graduation,Married,Very high,No,No,No
1337,Middle,Graduation,Together,Very high,No,No,No
1338,Old,Master,Married,High,No,No,No
1339,Middle,Graduation,Widow,High,No,No,No
1340,Old,Graduation,Single,High,No,No,Yes
1341,Middle,Graduation,Together,Very high,No,No,No
1342,Old,Master,Married,High,No,No,No
1343,Young,Master,Married,Very high,No,No,Yes
1344,Middle,Graduation,Married,Medium,No,No,No
1345,Middle,Basic,Single,Medium,No,No,No
1346,Old,Graduation,Single,High,No,No,No
1347,Middle,2n Cycle,Married,High,No,No,No
1348,Middle,PhD,Married,Very high,No,No,No
1349,Old,Graduation,Together,Very high,No,No,No
1350,Old,PhD,Divorced,Very high,No,No,Yes
1351,Young,PhD,Together,Very high,No,No,No
1352,Young,Graduation,Single,Very high,No,No,Yes
1353,Old,Graduation,Together,Medium,No,No,No
1354,Middle,Graduation,Married,Very high,No,No,No
1355,Old,Graduation,Married,Very high,No,No,Yes
1356,Middle,Graduation,Single,Very high,No,No,No
1357,Old,Graduation,Married,High,No,No,No
1358,Old,PhD,Single,Very high,No,No,No
1359,Middle,Graduation,Single,Very high,No,No,No
1360,Middle,Master,Single,High,No,No,No
1361,Young,Graduation,Together,Very high,No,No,No
1362,Middle,Basic,Married,Medium,No,No,No
1363,Old,Graduation,Divorced,Very high,No,No,No
1364,Middle,2n Cycle,Together,Very high,No,No,No
1365,Old,2n Cycle,Divorced,Very high,No,No,No
1366,Middle,Master,Single,Very high,No,No,Yes
1367,Middle,Graduation,Single,High,No,No,No
1368,Middle,Graduation,Married,High,No,No,No
1369,Old,Master,Divorced,High,No,No,No
1370,Middle,Graduation,Married,Very high,No,No,No
1371,Old,Graduation,Single,Very high,No,No,No
1372,Old,2n Cycle,Together,Very high,No,No,No
1373,Old,Master,Single,High,No,No,No
1374,Middle,PhD,Divorced,Very high,No,No,No
1375,Old,PhD,Married,Very high,No,No,No
1376,Middle,Graduation,Single,High,No,No,No
1377,Young,Graduation,Single,Very high,No,No,No
1378,Middle,Graduation,Married,Medium,No,No,Yes
1379,Middle,Master,Together,Very high,No,No,No
1380,Old,Master,Together,Low,No,No,No
1381,Old,Master,Divorced,High,No,No,No
1382,Old,2n Cycle,Together,Very high,No,No,No
1383,Old,Graduation,Together,Low,No,No,No
1384,Middle,2n Cycle,Single,Low,No,No,No
1385,Old,Graduation,Married,Medium,No,No,No
1386,Middle,Graduation,Married,Very high,No,No,No
1387,Middle,PhD,Together,Low,No,No,No
1388,Middle,2n Cycle,Together,High,No,No,No
1389,Middle,Graduation,Together,High,No,No,No
1390,Middle,Graduation,Together,Very high,No,No,No
1391,Middle,Master,Married,Very high,No,No,No
1392,Middle,Graduation,Together,Medium,No,No,No
1393,Middle,PhD,Together,High,No,No,No
1394,Middle,2n Cycle,Single,High,No,No,No
1395,Old,PhD,Married,High,No,No,No
1396,Middle,Master,Married,Very high,No,No,No
1397,Middle,Graduation,Divorced,High,No,No,No
1398,Middle,Graduation,Divorced,High,No,No,No
1399,Middle,Master,Divorced,Very high,No,No,No
1400,Old,PhD,Married,Very high,No,No,No
1401,Middle,Graduation,Married,Very high,No,No,No
1402,Old,Graduation,Married,Very high,No,No,No
1403,Old,Graduation,Married,High,No,No,No
1404,Middle,Graduation,Single,High,No,No,Yes
1405,Middle,Master,Married,High,No,No,No
1406,Old,PhD,Married,High,No,No,No
1407,Old,Master,Together,High,No,No,No
1408,Old,Master,Married,Very high,No,No,No
1409,Old,Graduation,Married,Very high,No,No,No
1410,Middle,PhD,Divorced,High,No,No,Yes
1411,Middle,PhD,Married,Very high,No,No,No
1412,Middle,Graduation,Married,Very high,Yes,No,Yes
1413,Old,Master,Married,High,No,No,No
1414,Young,Graduation,Married,Very high,Yes,No,Yes
1415,Middle,Graduation,Single,High,No,No,No
1416,Middle,Graduation,Single,Very high,No,No,No
1417,Old,Basic,Together,Medium,No,No,No
1418,Middle,Graduation,Together,Very high,No,No,No
1419,Middle,Graduation,Married,High,No,No,No
1420,Middle,Graduation,Married,Medium,No,No,No
1421,Middle,PhD,Together,High,No,No,No
1422,Middle,2n Cycle,Single,Very high,No,No,No
1423,Middle,Graduation,Single,Very high,No,No,No
1424,Old,PhD,Together,Very high,No,No,No
1425,Middle,Graduation,Married,Medium,No,No,No
1426,Middle,Graduation,Married,High,No,No,No
1427,Middle,PhD,Married,High,No,No,No
1428,Old,PhD,Married,High,No,No,No
1429,Middle,2n Cycle,Single,High,No,No,No
1430,Middle,Graduation,Single,High,No,No,No
1431,Middle,Master,Married,High,No,No,No
1432,Young,2n Cycle,Divorced,High,No,No,No
1433,Middle,Graduation,Married,Very high,Yes,No,No
1434,Middle,Graduation,Single,High,No,No,No
1435,Middle,Graduation,Divorced,Very high,No,No,No
1436,Old,2n Cycle,Married,High,No,No,No
1437,Young,Graduation,Married,Very high,No,No,No
1438,Old,2n Cycle,Together,Medium,No,No,No
1439,Middle,Graduation,Married,High,No,No,No
1440,Old,Graduation,Married,High,No,No,No
1441,Old,Graduation,Together,High,No,No,No
1442,Middle,Master,Married,High,No,No,No
1443,Old,Graduation,Together,Medium,No,No,Yes
1444,Old,Master,Widow,Very high,Yes,No,Yes
1445,Old,Graduation,Together,Very high,Yes,No,No
1446,Middle,Graduation,Married,Very high,No,No,No
1447,Old,2n Cycle,Married,Very high,No,No,No
1448,Middle,Graduation,Married,Very high,No,No,No
1449,Middle,PhD,Together,Very high,No,No,No
1450,Middle,2n Cycle,Together,Very high,No,No,No
1451,Old,Graduation,Together,High,No,No,No
1452,Old,Graduation,Married,Very high,No,No,No
1453,Middle,Graduation,Single,Very high,No,No,Yes
1454,Old,PhD,Single,High,No,No,No
1455,Middle,PhD,Together,High,No,No,No
1456,Middle,Graduation,Together,Very high,No,No,No
1457,Middle,Graduation,Divorced,High,No,No,Yes
1458,Middle,Graduation,Together,High,No,No,No
1459,Middle,Graduation,Single,Very high,Yes,No,Yes
1460,Old,PhD,Married,High,No,No,Yes
1461,Old,Master,Widow,Very high,No,No,No
1462,Old,Graduation,Together,Very high,No,Yes,No
1463,Middle,PhD,Together,High,No,No,No
1464,Young,Graduation,Together,Medium,No,No,No
1465,Old,Master,Married,High,No,No,No
1466,Old,Master,Divorced,High,No,No,No
1467,Old,Graduation,Married,Very high,No,No,No
1468,Old,Graduation,Together,Very high,No,No,No
1469,Middle,PhD,Married,High,No,No,No
1470,Middle,Graduation,Together,Very high,No,No,No
1471,Middle,2n Cycle,Married,Medium,No,No,No
1472,Middle,Graduation,Married,High,No,No,No
1473,Middle,Graduation,Single,High,No,No,No
1474,Old,PhD,Married,Very high,No,No,Yes
1475,Old,Graduation,Married,Very high,No,No,No
1476,Old,Graduation,Together,High,No,No,No
1477,Middle,Master,Single,Very high,No,No,No
1478,Young,PhD,Married,Very high,No,No,No
1479,Old,Master,Single,High,No,No,No
1480,Middle,PhD,Married,Very high,No,No,No
1481,Old,Graduation,Single,Very high,No,No,No
1482,Middle,Graduation,Together,Very high,No,No,No
1483,Middle,2n Cycle,Together,Medium,No,No,No
1484,Middle,Graduation,Married,Medium,No,No,No
1485,Middle,2n Cycle,Together,Very high,No,No,No
1486,Middle,Master,Single,Very high,No,No,No
1487,Old,Master,Together,Very high,No,No,No
1488,Old,PhD,Together,Very high,Yes,No,No
1489,Middle,Graduation,Married,Very high,No,No,No
1490,Middle,Master,Together,High,No,No,No
1491,Old,PhD,Married,Very high,No,No,Yes
1492,Young,PhD,Divorced,High,No,No,No
1493,Middle,Graduation,Together,Very high,Yes,No,Yes
1494,Young,Graduation,Together,Very high,No,No,No
1495,Old,Graduation,Married,High,No,No,No
1496,Middle,Graduation,Married,Very high,No,No,No
1497,Middle,Graduation,Divorced,High,No,No,No
1498,Old,PhD,Together,Very high,No,No,Yes
1499,Young,Graduation,Together,Very high,No,No,No
1500,Middle,Graduation,Married,Very high,No,No,No
1501,Middle,Master,Together,Very high,No,No,No
1502,Middle,2n Cycle,Divorced,High,No,No,No
1503,Middle,Graduation,Married,High,No,No,Yes
1504,Old,Master,Married,Very high,No,No,No
1505,Middle,PhD,Single,High,No,No,Yes
1506,Middle,Master,Married,Very high,No,No,No
1507,Middle,Master,Married,Very high,No,No,No
1508,Middle,2n Cycle,Together,High,No,No,No
1509,Old,PhD,Married,Very high,No,No,No
1510,Young,Graduation,Together,Very high,No,No,No
1511,Middle,Graduation,Married,Very high,No,No,No
1512,Old,Master,Single,High,No,No,No
1513,Young,Graduation,Married,Very high,No,No,No
1514,Middle,Graduation,Married,Very high,No,No,No
1515,Middle,2n Cycle,Together,Medium,No,No,Yes
1516,Old,Graduation,Single,Very high,No,No,No
1517,Middle,Graduation,Married,Very high,No,No,No
1518,Middle,Graduation,Married,High,No,No,No
1519,Middle,Master,Married,High,No,No,No
1520,Middle,Graduation,Single,High,No,No,Yes
1521,Middle,PhD,Single,Very high,No,No,Yes
1522,Middle,Graduation,Together,Very high,No,No,No
1523,Middle,Graduation,Single,High,No,No,No
1524,Middle,PhD,Married,High,No,No,No
1525,Middle,Graduation,Single,Low,No,No,No
1526,Old,Graduation,Married,Very high,No,No,No
1527,Old,PhD,Widow,Very high,No,No,No
1528,Young,Graduation,Together,High,No,No,No
1529,Old,PhD,Single,Very high,Yes,No,Yes
1530,Middle,Graduation,Together,Medium,No,No,No
1531,Old,2n Cycle,Married,Very high,No,No,No
1532,Middle,2n Cycle,Together,Very high,No,No,No
1533,Middle,PhD,Married,Very high,No,No,No
1534,Young,Master,Single,High,No,No,Yes
1535,Young,2n Cycle,Married,Medium,No,No,No
1536,Young,2n Cycle,Single,Medium,No,No,No
1537,Old,Graduation,Single,Medium,No,No,No
1538,Middle,PhD,Widow,Very high,No,No,Yes
1539,Middle,PhD,Married,Very high,No,No,No
1540,Young,Master,Single,Very high,No,No,No
1541,Old,Graduation,Together,High,No,No,No
1542,Middle,Master,Together,Very high,No,No,No
1543,Old,Graduation,Married,Very high,No,No,No
1544,Old,PhD,Single,Very high,No,No,No
1545,Young,Graduation,Divorced,Very high,No,No,No
1546,Young,Master,Together,High,No,No,No
1547,Old,2n Cycle,Married,High,No,No,No
1548,Old,Graduation,Single,High,No,No,Yes
1549,Middle,Graduation,Widow,Very high,No,No,No
1550,Old,2n Cycle,Married,High,No,No,No
1551,Old,Master,Divorced,Very high,No,No,No
1552,Old,2n Cycle,Married,Very high,No,No,No
1553,Old,Graduation,Married,Very high,No,No,No
1554,Middle,Graduation,Together,Very high,Yes,No,No
1555,Middle,Graduation,Married,Very high,No,No,No
1556,Old,Master,Married,High,No,No,No
1557,Middle,Master,Together,High,No,No,Yes
1558,Old,Graduation,Divorced,High,No,No,No
1559,Middle,Graduation,Divorced,High,No,No,No
1560,Middle,PhD,Divorced,Very high,No,No,No
1561,Middle,Graduation,Married,High,No,No,No
1562,Young,Master,Married,High,No,No,No
1563,Old,Graduation,Married,Medium,No,No,No
1564,Young,Graduation,Divorced,Very high,No,No,No
1565,Old,Graduation,Married,High,No,No,No
1566,Old,Graduation,Single,High,No,No,No
1567,Old,Master,Single,Very high,No,No,No
1568,Old,Graduation,Together,Very high,No,No,No
1569,Old,PhD,Married,Very high,No,No,Yes
1570,Old,PhD,Married,Very high,No,No,No
1571,Old,PhD,Single,Very high,Yes,No,Yes
1572,Young,Graduation,Married,High,No,Yes,No
1573,Young,Master,Single,Very high,No,No,Yes
1574,Middle,Master,Married,High,No,No,No
1575,Old,Graduation,Married,High,No,No,Yes
1576,Middle,PhD,Together,High,No,No,No
1577,Old,Graduation,Together,High,No,No,Yes
1578,Young,PhD,Together,Very high,No,No,No
1579,Middle,Graduation,Married,High,No,No,No
1580,Old,Master,Single,Very high,No,No,No
1581,Old,Graduation,Together,High,No,No,No
1582,Old,Master,Together,Very high,No,No,No
1583,Middle,Graduation,Divorced,Very high,No,No,No
1584,Young,Master,Together,High,No,No,No
1585,Middle,Graduation,Divorced,Very high,No,No,Yes
1586,Old,PhD,Divorced,High,No,No,Yes
1587,Old,Master,Together,High,No,No,Yes
1588,Middle,Graduation,Married,Very high,No,No,No
1589,Young,Graduation,Married,High,No,No,No
1590,Old,Graduation,Married,Very high,Yes,No,No
1591,Old,PhD,Together,High,No,No,No
1592,Young,Graduation,Married,Very high,No,No,No
1593,Old,Basic,Together,Medium,No,No,No
1594,Middle,Master,Together,High,No,No,No
1595,Middle,PhD,Single,Very high,No,No,No
1596,Old,PhD,Single,High,No,No,Yes
1597,Middle,Master,Together,Medium,No,No,No
1598,Middle,Graduation,Single,High,No,No,No
1599,Middle,Graduation,Married,Very high,No,No,No
1600,Old,PhD,Married,High,No,No,No
1601,Old,Master,Married,Very high,No,No,No
1602,Old,Master,Married,Very high,Yes,No,No
1603,Old,Master,Divorced,Very high,No,No,No
1604,Old,Graduation,Together,High,No,No,No
1605,Old,Graduation,Married,High,No,No,No
1606,Middle,PhD,Married,Very high,No,No,No
1607,Young,Graduation,Married,Very high,No,No,No
1608,Middle,2n Cycle,Single,Very high,No,No,No
1609,Old,Master,Married,Very high,No,No,No
1610,Young,PhD,Married,Very high,No,No,No
1611,Middle,Graduation,Single,Very high,No,No,No
1612,Young,2n Cycle,Married,Medium,No,No,No
1613,Middle,Graduation,Single,Very high,No,No,Yes
1614,Middle,Graduation,Single,High,No,No,No
1615,Middle,Graduation,Married,High,No,No,Yes
1616,Middle,Graduation,Married,Very high,No,No,No
1617,Young,Graduation,Together,High,No,No,No
1618,Old,Graduation,Single,Very high,No,No,No
1619,Old,Graduation,Married,Very high,No,No,No
1620,Old,Master,Married,Very high,No,No,No
1621,Middle,PhD,Together,Very high,No,No,No
1622,Middle,Graduation,Married,Medium,No,No,No
1623,Old,2n Cycle,Together,Very high,No,No,No
1624,Old,Graduation,Single,Very high,No,No,No
1625,Old,Graduation,Together,Very high,No,No,No
1626,Middle,PhD,Married,Very high,No,No,No
1627,Old,PhD,Widow,High,No,No,No
1628,Middle,PhD,Divorced,High,No,No,No
1629,Middle,Graduation,Together,Medium,No,No,Yes
1630,Old,2n Cycle,Together,High,No,No,No
1631,Middle,PhD,Together,Very high,No,No,No
1632,Old,PhD,Together,High,No,No,No
1633,Middle,PhD,Married,Very high,No,No,No
1634,Old,Graduation,Together,Medium,No,No,No
1635,Old,PhD,Together,High,No,No,No
1636,Old,PhD,Married,Very high,No,No,No
1637,Old,Graduation,Divorced,Very high,No,No,No
1638,Middle,Graduation,Married,Very high,No,No,No
1639,Middle,Graduation,Married,High,No,No,No
1640,Middle,Master,Together,High,No,No,No
1641,Old,Master,Together,High,No,No,No
1642,Middle,PhD,Divorced,Very high,No,No,Yes
1643,Middle,Graduation,Together,Very high,No,No,No
1644,Middle,Basic,Together,Medium,No,No,No
1645,Old,2n Cycle,Together,Very high,No,No,No
1646,Middle,Master,Divorced,High,No,No,No
1647,Middle,Master,Married,Very high,No,No,No
1648,Middle,Graduation,Single,Very high,No,No,No
1649,Old,Graduation,Divorced,Very high,No,No,Yes
1650,Middle,PhD,Widow,Very high,No,No,No
1651,Old,Graduation,Married,Medium,No,No,No
1652,Old,Graduation,Single,Very high,No,No,Yes
1653,Middle,Graduation,Widow,High,No,No,Yes
1654,Old,Graduation,Together,Very high,No,No,No
1655,Middle,PhD,Widow,High,No,No,No
1656,Old,Master,Single,High,No,No,No
1657,Old,Master,Together,High,No,No,No
1658,Middle,PhD,Married,Very high,No,No,No
1659,Middle,2n Cycle,Together,Very high,No,No,No
1660,Old,Graduation,Single,Very high,Yes,No,Yes
1661,Middle,PhD,Single,Very high,No,No,No
1662,Middle,Graduation,Together,High,No,No,No
1663,Middle,Graduation,Divorced,Very high,No,No,No
1664,Young,Graduation,Single,High,No,No,No
1665,Young,PhD,Single,High,No,No,No
1666,Middle,2n Cycle,Single,High,No,No,No
1667,Old,PhD,Married,Very high,No,No,No
1668,Middle,PhD,Married,High,No,No,No
1669,Middle,PhD,Married,Very high,No,No,No
1670,Young,PhD,Married,Very high,No,No,Yes
1671,Old,PhD,Single,High,Yes,No,Yes
1672,Young,Graduation,Together,Very high,No,No,No
1673,Old,Master,Married,Very high,No,No,Yes
1674,Middle,2n Cycle,Married,Very high,Yes,No,No
1675,Young,Graduation,Married,Very high,No,No,No
1676,Middle,2n Cycle,Together,Medium,No,No,No
1677,Middle,Graduation,Married,High,No,No,No
1678,Middle,Basic,Single,Medium,No,No,No
1679,Middle,PhD,Married,High,No,No,No
1680,Middle,Graduation,Married,High,No,No,No
1681,Middle,Graduation,Together,Very high,Yes,No,No
1682,Old,Graduation,Together,High,No,No,No
1683,Middle,PhD,Married,Medium,No,No,No
1684,Old,PhD,Married,Medium,No,No,No
1685,Middle,Graduation,Married,High,No,No,No
1686,Middle,Graduation,Married,High,No,No,No
1687,Middle,Master,Divorced,Very high,No,No,Yes
1688,Middle,Graduation,Together,Very high,No,No,Yes
1689,Young,Graduation,Single,Very high,No,No,No
1690,Old,Graduation,Single,Very high,No,No,No
1691,Young,Graduation,Single,High,No,No,No
1692,Young,Master,Divorced,Very high,No,No,No
1693,Middle,PhD,Married,Medium,No,No,No
1694,Young,2n Cycle,Single,Medium,No,No,No
1695,Old,Graduation,Married,Medium,No,No,No
1696,Middle,Graduation,Divorced,Very high,No,No,No
1697,Middle,2n Cycle,Together,High,No,No,No
1698,Old,PhD,Married,Very high,No,No,No
1699,Old,PhD,Divorced,High,No,No,No
1700,Middle,Master,Widow,Very high,No,No,No
1701,Old,Graduation,Married,Very high,No,No,No
1702,Young,Master,Married,High,No,No,No
1703,Middle,Graduation,Single,Medium,No,No,No
1704,Middle,PhD,Together,Very high,No,No,No
1705,Middle,Basic,Together,Medium,No,No,Yes
1706,Old,PhD,Married,High,No,No,No
1707,Old,Master,Together,Very high,No,No,No
1708,Middle,Graduation,Together,Very high,No,No,No
1709,Middle,Graduation,Married,Very high,No,No,No
1710,Young,PhD,Married,Very high,No,No,No
1711,Old,Graduation,Married,Very high,Yes,No,Yes
1712,Middle,Master,Married,Very high,Yes,No,Yes
1713,Middle,Graduation,Together,High,No,No,No
1714,Young,Graduation,Married,Very high,No,No,No
1715,Middle,Basic,Single,Medium,No,No,No
1716,Old,Graduation,Together,High,No,No,No
1717,Middle,Graduation,Single,Very high,No,No,No
1718,Middle,Graduation,Married,Medium,No,No,No
1719,Middle,Graduation,Together,High,No,No,No
1720,Middle,PhD,Married,Very high,No,No,Yes
1721,Middle,Graduation,Married,Medium,No,Yes,No
1722,Young,PhD,Married,Very high,Yes,No,Yes
1723,Old,Graduation,Single,Very high,Yes,No,Yes
1724,Middle,PhD,Widow,Very high,No,No,No
1725,Middle,PhD,Single,High,No,No,Yes
1726,Old,Master,Single,Medium,No,No,Yes
1727,Old,Graduation,Together,High,No,No,Yes
1728,Old,Basic,Single,Medium,No,No,No
1729,Old,Master,Together,Very high,No,No,No
1730,Old,Graduation,Married,Very high,No,No,No
1731,Old,PhD,Together,High,No,No,No
1732,Old,Graduation,Married,Medium,No,No,No
1733,Middle,Graduation,Divorced,High,No,No,No
1734,Old,Graduation,Together,Very high,No,No,No
1735,Old,2n Cycle,Single,Very high,No,No,No
1736,Middle,Graduation,Divorced,Very high,No,No,No
1737,Old,Graduation,Single,Very high,No,No,No
1738,Old,Graduation,Married,Very high,No,No,No
1739,Middle,Graduation,Married,Very high,Yes,No,No
1740,Old,PhD,Married,High,No,No,No
1741,Middle,Graduation,Together,Very high,No,No,No
1742,Old,Graduation,Together,High,No,No,No
1743,Old,PhD,Single,High,No,No,Yes
1744,Middle,Graduation,Together,Very high,No,No,Yes
1745,Old,PhD,Divorced,Very high,No,No,No
1746,Old,Graduation,Married,Very high,No,No,No
1747,Old,Basic,Together,High,No,No,No
1748,Middle,Master,Married,Very high,No,No,No
1749,Old,Graduation,Divorced,Very high,No,No,No
1750,Old,PhD,Married,Very high,Yes,No,No
1751,Middle,PhD,Together,Very high,No,No,Yes
1752,Middle,Graduation,Married,High,No,No,No
1753,Old,2n Cycle,Single,High,No,No,No
1754,Middle,PhD,Widow,Very high,No,No,Yes
1755,Middle,Graduation,Widow,High,No,No,No
1756,Middle,Basic,Single,Medium,No,No,No
1757,Middle,Graduation,Married,High,No,No,No
1758,Old,Master,Single,High,No,No,Yes
1759,Middle,PhD,Married,High,No,No,No
1760,Old,Graduation,Married,Very high,No,No,No
1761,Middle,2n Cycle,Married,Very high,No,No,No
1762,Middle,2n Cycle,Divorced,Medium,No,No,No
1763,Middle,Graduation,Together,Very high,No,No,No
1764,Young,Graduation,Married,Very high,No,No,No
1765,Old,2n Cycle,Married,Medium,No,No,No
1766,Middle,Graduation,Married,Very high,No,No,No
1767,Middle,PhD,Single,High,No,No,No
1768,Old,Graduation,Together,Very high,No,No,No
1769,Middle,Basic,Married,High,No,No,No
1770,Middle,Master,Married,High,No,No,No
1771,Old,PhD,Divorced,High,No,No,Yes
1772,Young,PhD,Married,Very high,No,No,No
1773,Old,Graduation,Single,Very high,No,No,No
1774,Middle,PhD,Together,Very high,No,No,No
1775,Old,Graduation,Married,High,No,No,No
1776,Young,Graduation,Together,High,No,No,Yes
1777,Middle,Graduation,Single,High,No,No,No
1778,Middle,PhD,Married,High,No,No,No
1779,Middle,PhD,Together,High,No,No,No
1780,Middle,2n Cycle,Married,Very high,No,No,No
